,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-04-24,5.063194444444445,65.67361111111111,3.5159722222222225,10.404861111111106,20.313888888888894,41.75,20.54097222222223,20.082638888888887,,,,4.310416666666669,3.7215277777777778,1165.2916666666667,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.685416666666667,100.51388888888889,3.2208333333333337,11.443055555555555,22.42152777777777,33.263888888888886,22.693055555555553,22.144444444444442,,,,4.015277777777776,3.4499999999999997,1165.7152777777778,0.0,0,1,0,0,0,0,0,0
2019-04-26,5.0770833333333325,102.98611111111111,3.458333333333334,10.849305555555553,23.792361111111106,29.29861111111111,24.07499999999999,23.531944444444452,,,,4.300694444444448,3.671527777777778,1183.4722222222222,0.0,1,0,0,0,0,0,0,0
2019-04-27,4.76736111111111,123.19444444444444,3.0770833333333325,13.890972222222214,24.86458333333333,28.895833333333332,25.113194444444442,24.630555555555564,,,,4.012499999999999,3.3284722222222225,1165.2916666666667,0.0,0,1,0,0,0,0,0,0
2019-04-28,3.457638888888891,146.65972222222223,2.153472222222222,14.588888888888883,24.36527777777777,26.6875,24.636111111111106,24.099305555555564,,,,2.9791666666666665,2.405555555555555,1167.1666666666667,0.0,0,1,0,0,0,0,0,0
2019-04-29,3.7583333333333337,132.59027777777777,2.477777777777778,15.450000000000001,26.34652777777778,25.15277777777778,26.616666666666653,26.08819444444445,,,,3.2347222222222225,2.694444444444446,1166.298611111111,0.0,0,1,0,0,0,0,0,0
2019-04-30,3.4159722222222246,131.82638888888889,2.132638888888888,21.015277777777776,27.935416666666665,19.34722222222222,28.225000000000005,27.670138888888896,,,,2.910416666666668,2.406944444444443,1181.548611111111,0.0,0,1,0,0,0,0,0,0
2019-05-01,3.47972027972028,127.16083916083916,2.3671328671328675,10.991608391608395,26.24195804195804,26.958041958041957,26.51328671328671,25.97692307692307,,,,3.0146853146853125,2.5314685314685326,1162.3916083916083,0.0,0,1,0,0,0,0,0,0
2019-05-02,5.106944444444443,126.90277777777777,3.3847222222222224,14.783333333333324,29.988888888888905,19.51388888888889,30.268055555555538,29.72569444444444,,,,4.404166666666665,3.7236111111111114,1182.4791666666667,0.0,0,1,0,0,0,0,0,0
2019-05-03,6.447222222222221,178.77777777777777,4.306249999999999,14.330555555555552,25.660416666666674,31.52777777777778,25.922916666666676,25.437500000000007,,,,5.493055555555555,4.643749999999997,1181.9166666666667,0.0,0,0,1,0,0,0,0,0
