,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,West,North,North-East,East,South-East,South
2019-05-31,3.596527777777778,240.08333333333334,2.106249999999999,20.165277777777792,25.659722222222225,64.15277777777777,25.9701388888889,25.387500000000003,,,,2.947916666666666,2.31875,1165.798611111111,0.0,0,1,0,0,0,0,0,0
2019-06-01,3.731944444444445,227.17361111111111,2.1055555555555547,18.519444444444453,24.933333333333334,65.36805555555556,25.17916666666667,24.66111111111112,,,,2.922916666666667,2.310416666666667,1182.3055555555557,0.0,0,1,0,0,0,0,0,0
2019-06-02,3.5140845070422526,225.18309859154928,1.95774647887324,21.790845070422538,24.060563380281682,67.63380281690141,24.35140845070424,23.774647887323958,,,,2.7760563380281695,2.173943661971831,1178.3591549295775,0.0,0,1,0,0,0,0,0,0
2019-06-03,4.072916666666666,212.93055555555554,2.329166666666666,19.136111111111113,24.560416666666665,69.19444444444444,24.793055555555558,24.340972222222213,,,,3.2395833333333335,2.5756944444444456,1181.548611111111,0.0,0,1,0,0,0,0,0,0
2019-06-04,4.645833333333335,201.99305555555554,2.7576388888888888,15.903472222222218,25.809722222222234,57.361111111111114,26.04305555555557,25.579861111111107,,,,3.657638888888888,2.9826388888888884,1181.986111111111,0.0,0,1,0,0,0,0,0,0
2019-06-05,4.439583333333333,198.06944444444446,2.6319444444444446,18.488888888888884,27.322916666666668,46.00694444444444,27.58333333333333,27.05972222222222,,,,3.4854166666666653,2.884722222222221,1181.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-06-06,3.9951388888888895,209.14583333333334,2.3243055555555556,19.082638888888898,25.892361111111107,56.763888888888886,26.153472222222227,25.636111111111106,,,,3.1979166666666674,2.582638888888889,1182.4166666666667,0.0,0,1,0,0,0,0,0,0
2019-06-07,4.745138888888892,244.14583333333334,2.7500000000000013,17.76388888888889,25.10486111111111,65.15972222222223,25.31319444444445,24.89652777777777,,,,3.6812500000000017,2.9888888888888885,1182.2916666666667,0.0,0,1,0,0,0,0,0,0
2019-06-08,3.106944444444444,249.90277777777777,1.6090277777777784,21.616666666666664,23.060416666666665,77.35416666666667,23.252083333333335,22.875694444444445,,,,2.4361111111111104,1.8041666666666667,1182.5208333333333,0.0,0,1,0,0,0,0,0,0
2019-06-09,3.6513888888888903,213.54861111111111,2.160416666666667,19.799305555555552,23.69791666666667,71.70138888888889,23.97083333333332,23.430555555555543,,,,2.9458333333333333,2.354861111111112,1181.9791666666667,0.0,0,1,0,0,0,0,0,0
2019-06-10,4.414583333333336,202.66666666666666,2.6187499999999995,19.91319444444443,25.782638888888876,42.09722222222222,26.070138888888906,25.493750000000013,,,,3.563888888888887,2.9124999999999996,1167.2916666666667,0.0,0,1,0,0,0,0,0,0
2019-06-11,4.186713286713286,209.3986013986014,2.4181818181818184,20.220279720279716,28.256643356643373,38.10489510489511,28.520979020979016,28.001398601398606,,,,3.3125874125874124,2.642657342657342,1182.9160839160838,0.0,0,1,0,0,0,0,0,0
2019-06-12,4.028169014084508,234.71830985915494,2.1866197183098595,21.72887323943662,25.368888888888886,63.696296296296296,25.64962962962964,25.094814814814818,,,,3.1464788732394364,2.421126760563382,1165.2394366197184,0.0,0,1,0,0,0,0,0,0
2019-06-13,4.351111111111111,240.65925925925927,2.365925925925925,19.337777777777767,23.07500000000001,84.53333333333333,23.37727272727272,22.877777777777773,,,,3.3762962962962964,2.607407407407408,1241.0,0.0,0,1,0,0,0,0,0,0
2019-06-14,3.613888888888888,226.47916666666666,2.0069444444444446,22.877777777777776,,,,,,,,2.8416666666666663,2.236111111111109,1165.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-06-15,3.675694444444444,197.31944444444446,2.192361111111112,18.75555555555555,,,,,,,,2.9541666666666675,2.375000000000001,1182.076388888889,0.0,0,1,0,0,0,0,0,0
2019-06-16,4.12291666666667,214.55555555555554,2.428472222222223,19.284722222222214,,,,,,,,3.301388888888888,2.656944444444445,1182.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-06-17,4.370833333333333,216.9375,2.4930555555555562,18.05972222222222,25.81604938271605,63.55555555555556,26.085185185185196,25.581481481481493,,,,3.3923611111111103,2.7048611111111107,1181.0972222222222,0.0,0,1,0,0,0,0,0,0
2019-06-18,4.218749999999997,211.90972222222223,2.4395833333333328,19.52152777777778,24.4923611111111,69.8125,24.740972222222208,24.24722222222222,,,,3.38125,2.668055555555555,1181.5902777777778,0.0,0,1,0,0,0,0,0,0
2019-06-19,4.052777777777775,219.5625,2.339583333333333,19.32430555555556,24.885416666666668,56.0625,25.10555555555557,24.6625,,,,3.250694444444445,2.56875,1164.7152777777778,0.0,0,1,0,0,0,0,0,0
