,,,,,,,,,TD,RH,RH_1,RH_2,Grad,Grad_1,Grad_3,Grad_2,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmin_1,TDmax_1,TD_1,TDmax,TDmin
2018,3,1,0,0,0,3,60,-1,18.227083333333333,48.81944444444444,60.201388888888886,52.729166666666664,241.58333333333334,239.47916666666666,170.52777777777777,165.95833333333334,19.76041666666667,19.61527777777777,19.471527777777773,18.334722222222215,18.14444444444446,17.96527777777778,16.963194444444458,17.202777777777786,17.07708333333334,18.39027777777778,18.059027777777782
2018,3,2,0,0,0,4,61,-1,19.44236111111111,45.15277777777778,48.81944444444444,60.201388888888886,240.95833333333334,241.58333333333334,165.95833333333334,239.47916666666666,18.334722222222215,18.14444444444446,17.96527777777778,17.202777777777786,17.07708333333334,16.963194444444458,18.059027777777782,18.39027777777778,18.227083333333333,19.592361111111114,19.284027777777784
2018,3,3,0,0,0,5,62,-1,20.672916666666673,39.895833333333336,45.15277777777778,48.81944444444444,242.96527777777777,240.95833333333334,239.47916666666666,241.58333333333334,17.202777777777786,17.07708333333334,16.963194444444458,18.39027777777778,18.227083333333333,18.059027777777782,19.284027777777784,19.592361111111114,19.44236111111111,20.88194444444444,20.470138888888883
2018,3,4,0,0,0,6,63,-1,21.69166666666666,34.03472222222222,39.895833333333336,45.15277777777778,242.07638888888889,242.96527777777777,241.58333333333334,240.95833333333334,18.39027777777778,18.227083333333333,18.059027777777782,19.592361111111114,19.44236111111111,19.284027777777784,20.470138888888883,20.88194444444444,20.672916666666673,21.92916666666667,21.443750000000005
2018,3,5,0,0,0,0,64,-1,24.338194444444444,38.15277777777778,34.03472222222222,39.895833333333336,248.22916666666666,242.07638888888889,240.95833333333334,242.96527777777777,19.592361111111114,19.44236111111111,19.284027777777784,20.88194444444444,20.672916666666673,20.470138888888883,21.443750000000005,21.92916666666667,21.69166666666666,24.504166666666674,24.17777777777778
2018,3,6,0,0,0,1,65,-1,24.59720279720281,39.59440559440559,38.15277777777778,34.03472222222222,239.10416666666666,248.22916666666666,242.96527777777777,242.07638888888889,20.88194444444444,20.672916666666673,20.470138888888883,21.92916666666667,21.69166666666666,21.443750000000005,24.17777777777778,24.504166666666674,24.338194444444444,24.776923076923072,24.44335664335665
2018,3,7,0,0,0,2,66,-1,22.457638888888894,44.888888888888886,39.59440559440559,38.15277777777778,244.48611111111111,239.10416666666666,242.07638888888889,248.22916666666666,21.92916666666667,21.69166666666666,21.443750000000005,24.504166666666674,24.338194444444444,24.17777777777778,24.44335664335665,24.776923076923072,24.59720279720281,22.615972222222222,22.296527777777772
2018,3,8,0,0,0,3,67,-1,24.263194444444448,34.0625,44.888888888888886,39.59440559440559,236.79166666666666,244.48611111111111,248.22916666666666,239.10416666666666,24.504166666666674,24.338194444444444,24.17777777777778,24.776923076923072,24.59720279720281,24.44335664335665,22.296527777777772,22.615972222222222,22.457638888888894,24.47361111111111,24.043750000000003
2018,3,9,0,0,0,4,68,-1,21.35486111111111,29.76388888888889,34.0625,44.888888888888886,257.5763888888889,236.79166666666666,239.10416666666666,244.48611111111111,24.776923076923072,24.59720279720281,24.44335664335665,22.615972222222222,22.457638888888894,22.296527777777772,24.043750000000003,24.47361111111111,24.263194444444448,21.574999999999996,21.146527777777766
2018,3,10,0,0,0,5,69,-1,17.876388888888894,46.40277777777778,29.76388888888889,34.0625,266.44444444444446,257.5763888888889,244.48611111111111,236.79166666666666,22.615972222222222,22.457638888888894,22.296527777777772,24.47361111111111,24.263194444444448,24.043750000000003,21.146527777777766,21.574999999999996,21.35486111111111,18.035416666666666,17.718749999999993
2018,3,11,0,0,0,6,70,-1,17.306944444444444,44.97222222222222,46.40277777777778,29.76388888888889,271.6388888888889,266.44444444444446,236.79166666666666,257.5763888888889,24.47361111111111,24.263194444444448,24.043750000000003,21.574999999999996,21.35486111111111,21.146527777777766,17.718749999999993,18.035416666666666,17.876388888888894,17.46597222222223,17.14305555555556
2018,3,12,0,0,0,0,71,-1,18.462500000000002,49.416666666666664,44.97222222222222,46.40277777777778,271.7708333333333,271.6388888888889,257.5763888888889,266.44444444444446,21.574999999999996,21.35486111111111,21.146527777777766,18.035416666666666,17.876388888888894,17.718749999999993,17.14305555555556,17.46597222222223,17.306944444444444,18.628472222222218,18.305555555555554
