,,,,,,,,,TD,TDmax_3,TD_3,TDmin_3,TDmax_2,TD_2,TDmin_2,TDmax_1,TDmin_1,TD_1,TDmin,TDmax
2018,4,13,0,0,0,4,103,-1,18.866666666666667,13.445138888888893,13.30555555555556,13.168055555555554,15.025694444444452,14.824999999999996,14.64652777777777,16.121678321678317,15.725874125874126,15.923776223776223,18.663888888888895,19.06388888888889
2018,4,14,0,0,0,5,104,-1,19.512500000000003,15.025694444444452,14.824999999999996,14.64652777777777,16.121678321678317,15.923776223776223,15.725874125874126,19.06388888888889,18.663888888888895,18.866666666666667,19.275,19.748611111111117
2018,4,15,0,0,0,6,105,-1,18.53263888888889,16.121678321678317,15.923776223776223,15.725874125874126,19.06388888888889,18.866666666666667,18.663888888888895,19.748611111111117,19.275,19.512500000000003,18.321527777777785,18.74375
2018,4,16,0,0,0,0,106,-1,19.189583333333342,19.06388888888889,18.866666666666667,18.663888888888895,19.748611111111117,19.512500000000003,19.275,18.74375,18.321527777777785,18.53263888888889,18.931944444444447,19.44513888888888
2018,4,17,0,0,0,1,107,-1,23.12569444444445,19.748611111111117,19.512500000000003,19.275,18.74375,18.53263888888889,18.321527777777785,19.44513888888888,18.931944444444447,19.189583333333342,22.853472222222216,23.37916666666666
2018,4,18,0,0,0,2,108,-1,25.30069444444445,18.74375,18.53263888888889,18.321527777777785,19.44513888888888,19.189583333333342,18.931944444444447,23.37916666666666,22.853472222222216,23.12569444444445,25.038888888888895,25.563888888888872
2018,4,19,0,0,0,3,109,-1,21.931944444444447,19.44513888888888,19.189583333333342,18.931944444444447,23.37916666666666,23.12569444444445,22.853472222222216,25.563888888888872,25.038888888888895,25.30069444444445,21.715972222222216,22.14999999999999
2018,4,20,0,0,0,4,110,-1,17.763888888888896,23.37916666666666,23.12569444444445,22.853472222222216,25.563888888888872,25.30069444444445,25.038888888888895,22.14999999999999,21.715972222222216,21.931944444444447,17.659027777777784,17.872916666666676
2018,4,21,0,0,0,5,111,-1,17.570138888888884,25.563888888888872,25.30069444444445,25.038888888888895,22.14999999999999,21.931944444444447,21.715972222222216,17.872916666666676,17.659027777777784,17.763888888888896,17.449999999999992,17.695138888888884
2018,4,22,0,0,0,6,112,-1,16.220138888888883,22.14999999999999,21.931944444444447,21.715972222222216,17.872916666666676,17.763888888888896,17.659027777777784,17.695138888888884,17.449999999999992,17.570138888888884,16.05763888888889,16.3923611111111
2018,4,23,0,0,0,0,113,-1,16.461111111111116,17.872916666666676,17.763888888888896,17.659027777777784,17.695138888888884,17.570138888888884,17.449999999999992,16.3923611111111,16.05763888888889,16.220138888888883,16.25208333333333,16.669444444444437
2018,4,24,0,0,0,1,114,-1,22.15138888888888,17.695138888888884,17.570138888888884,17.449999999999992,16.3923611111111,16.220138888888883,16.05763888888889,16.669444444444437,16.25208333333333,16.461111111111116,21.924999999999997,22.372916666666672
